data,miesiac,rok,numer_gr_klienta,numer kategorii,ilosc,sprzedaz,marza
28.02.2025,2,2025,312,379,24,71.76,21.528
28.02.2025,2,2025,312,445,5,63.13,12.626
28.02.2025,2,2025,312,452,6,23.7,9.48
28.02.2025,2,2025,312,459,74,246.42,73.926
28.02.2025,2,2025,312,496,150,291.0,87.3
28.02.2025,2,2025,312,511,20,29.2,11.68
28.02.2025,2,2025,312,631,16,54.56,16.368
28.02.2025,2,2025,312,637,9,44.91,8.982
28.02.2025,2,2025,312,642,20,98.6,29.58
28.02.2025,2,2025,312,711,430,861.9,172.38
28.02.2025,2,2025,486,706,-24,-553.92,-110.784
28.02.2025,2,2025,733,534,-1,-5.71,-1.142
28.02.2025,2,2025,768,8,15,135.42,54.168
28.02.2025,2,2025,768,9,397,3339.97,667.994
28.02.2025,2,2025,768,10,20,104.6,41.84
28.02.2025,2,2025,768,11,36,384.36,76.872
28.02.2025,2,2025,768,16,40,63.6,12.72
28.02.2025,2,2025,768,18,305,1191.63,238.326
28.02.2025,2,2025,768,19,12,44.16,8.832
28.02.2025,2,2025,768,20,50,60.25,24.1
28.02.2025,2,2025,768,21,93,495.23,99.046
28.02.2025,2,2025,768,27,844,3540.64,1416.256
28.02.2025,2,2025,768,28,41,519.94,103.988
28.02.2025,2,2025,768,33,22,326.12,65.224
28.02.2025,2,2025,768,34,12,109.2,21.84
28.02.2025,2,2025,768,35,72,169.44,67.776
28.02.2025,2,2025,768,38,313,1519.14,303.828
28.02.2025,2,2025,768,61,16,81.38,16.276
28.02.2025,2,2025,768,99,25,160.9,32.18
28.02.2025,2,2025,768,120,450,1234.5,493.8
28.02.2025,2,2025,768,141,24,64.56,25.824
28.02.2025,2,2025,768,144,9,31.5,15.75
28.02.2025,2,2025,768,149,154,544.13,217.652
28.02.2025,2,2025,768,232,12,55.08,16.524
28.02.2025,2,2025,768,258,50,165.0,49.5
28.02.2025,2,2025,768,259,37,286.34,85.902
28.02.2025,2,2025,768,264,7,80.55,24.165
28.02.2025,2,2025,768,445,25,290.1,58.02
28.02.2025,2,2025,768,452,34,116.82,46.728
28.02.2025,2,2025,768,459,232,772.56,231.768
28.02.2025,2,2025,768,496,30,58.2,17.46
28.02.2025,2,2025,768,510,6,23.64,4.728
28.02.2025,2,2025,768,511,10,14.6,5.84
28.02.2025,2,2025,768,561,8,30.8,9.24
28.02.2025,2,2025,768,637,9,44.91,8.982
28.02.2025,2,2025,768,692,4,132.88,39.864
28.02.2025,2,2025,768,711,60,121.8,24.36
31.03.2025,3,2025,124,3,18,26.46,10.584
31.03.2025,3,2025,124,9,157,1535.14,307.028
31.03.2025,3,2025,124,10,2,17.06,6.824
31.03.2025,3,2025,124,18,12,73.47,14.694
31.03.2025,3,2025,124,21,5,21.7,4.34
31.03.2025,3,2025,124,27,1014,3988.51,1595.404
31.03.2025,3,2025,124,28,12,158.64,31.728
31.03.2025,3,2025,124,35,24,55.68,22.272
31.03.2025,3,2025,124,38,6,39.84,7.968
31.03.2025,3,2025,124,61,5,28.65,5.73
31.03.2025,3,2025,124,78,5,73.1,21.93
31.03.2025,3,2025,124,171,3,13.02,3.906
31.03.2025,3,2025,124,232,5,39.95,11.985
31.03.2025,3,2025,124,259,6,53.34,16.002
31.03.2025,3,2025,124,326,3,92.4,27.72
31.03.2025,3,2025,124,459,25,83.25,24.975
31.03.2025,3,2025,124,541,3,87.24,26.172
31.03.2025,3,2025,124,631,126,258.3,77.49
31.03.2025,3,2025,124,637,6,29.94,5.988
31.03.2025,3,2025,124,708,5,31.75,9.525
31.03.2025,3,2025,283,6,64,233.28,93.312
31.03.2025,3,2025,283,8,24,223.8,89.52
31.03.2025,3,2025,283,9,378,3959.29,791.858
31.03.2025,3,2025,283,10,54,359.42,143.768
31.03.2025,3,2025,283,11,8,149.76,29.952
31.03.2025,3,2025,283,16,20,32.8,6.56
31.03.2025,3,2025,283,18,835,2628.28,525.656
31.03.2025,3,2025,283,20,86,325.1,130.04
31.03.2025,3,2025,283,21,73,569.48,113.896
31.03.2025,3,2025,283,27,592,2433.44,973.376
31.03.2025,3,2025,283,28,101,1406.0,281.2
31.03.2025,3,2025,283,33,11,152.27,30.454
31.03.2025,3,2025,283,34,6,64.62,12.924
31.03.2025,3,2025,283,35,126,357.42,142.968
31.03.2025,3,2025,283,38,156,803.29,160.658
31.03.2025,3,2025,283,61,16,211.38,42.276
31.03.2025,3,2025,283,64,82,186.88,74.752
31.03.2025,3,2025,283,78,12,161.93,48.579
31.03.2025,3,2025,283,93,12,68.76,13.752
31.03.2025,3,2025,283,99,10,66.2,13.24
31.03.2025,3,2025,283,120,-30,-80.7,-32.28
31.03.2025,3,2025,283,141,96,338.64,135.456
31.03.2025,3,2025,283,144,5,21.7,10.85
31.03.2025,3,2025,283,149,306,1193.45,477.38
31.03.2025,3,2025,283,171,18,69.1,20.73
31.03.2025,3,2025,283,176,20,127.17,38.151
31.03.2025,3,2025,283,191,24,114.96,45.984
31.03.2025,3,2025,283,206,2,9.36,2.808
31.03.2025,3,2025,283,207,3,29.7,8.91
31.03.2025,3,2025,283,208,9,154.23,46.269
31.03.2025,3,2025,283,232,113,502.57,150.771
31.03.2025,3,2025,283,245,5,24.45,7.335
31.03.2025,3,2025,283,258,55,183.55,55.065
31.03.2025,3,2025,283,259,117,733.7,220.11
31.03.2025,3,2025,283,264,32,252.96,75.888
31.03.2025,3,2025,283,287,18,98.28,29.484
31.03.2025,3,2025,283,299,6,69.57,20.871
31.03.2025,3,2025,283,305,24,198.0,59.4
31.03.2025,3,2025,283,311,15,46.65,13.995
31.03.2025,3,2025,283,324,36,154.56,46.368
31.03.2025,3,2025,283,345,5,46.05,9.21
31.03.2025,3,2025,283,350,12,61.08,18.324
31.03.2025,3,2025,283,368,2,16.4,4.92
31.03.2025,3,2025,283,372,24,97.44,29.232
31.03.2025,3,2025,283,445,19,238.81,47.762
31.03.2025,3,2025,283,455,6,73.8,22.14
31.03.2025,3,2025,283,459,190,632.7,189.81
31.03.2025,3,2025,283,463,3,19.38,5.814
31.03.2025,3,2025,283,496,90,174.6,52.38
31.03.2025,3,2025,283,533,37,132.16,52.864
31.03.2025,3,2025,283,541,6,183.72,55.116
31.03.2025,3,2025,283,631,117,173.97,52.191
31.03.2025,3,2025,283,637,21,104.79,20.958
31.03.2025,3,2025,283,674,40,234.02,93.608
31.03.2025,3,2025,283,701,12,32.28,9.684
31.03.2025,3,2025,283,708,8,49.12,14.736
31.03.2025,3,2025,283,711,160,308.8,61.76
31.03.2025,3,2025,312,6,5,25.7,10.28
31.03.2025,3,2025,312,8,36,395.64,158.256
31.03.2025,3,2025,312,9,314,2750.39,550.078
31.03.2025,3,2025,312,10,14,47.7,19.08
31.03.2025,3,2025,312,15,2,21.02,4.204
31.03.2025,3,2025,312,16,35,95.1,19.02
31.03.2025,3,2025,312,18,270,1017.74,203.548
31.03.2025,3,2025,312,20,80,257.7,103.08
31.03.2025,3,2025,312,21,70,412.72,82.544
31.03.2025,3,2025,312,27,313,1279.0,511.6
31.03.2025,3,2025,312,28,49,671.26,134.252
31.03.2025,3,2025,312,33,42,662.11,132.422
31.03.2025,3,2025,312,34,14,134.84,26.968
31.03.2025,3,2025,312,38,46,415.68,83.136
31.03.2025,3,2025,312,61,5,28.31,5.662
31.03.2025,3,2025,312,64,10,11.2,4.48
31.03.2025,3,2025,312,103,4,4.36,1.744
31.03.2025,3,2025,312,144,11,40.97,20.485
31.03.2025,3,2025,312,149,126,288.97,115.588
31.03.2025,3,2025,312,170,6,29.22,8.766
31.03.2025,3,2025,312,171,9,33.06,9.918
31.03.2025,3,2025,312,176,2,13.08,3.924
31.03.2025,3,2025,312,191,-96,-275.52,-110.208
31.03.2025,3,2025,312,214,34,157.54,31.508
31.03.2025,3,2025,312,232,12,55.08,16.524
31.03.2025,3,2025,312,245,16,86.94,26.082
31.03.2025,3,2025,312,258,20,68.2,20.46
31.03.2025,3,2025,312,259,44,292.8,87.84
31.03.2025,3,2025,312,311,6,20.9,6.27
31.03.2025,3,2025,312,369,4,11.72,3.516
31.03.2025,3,2025,312,379,144,430.56,129.168
31.03.2025,3,2025,312,420,4,11.08,2.216
31.03.2025,3,2025,312,445,10,117.76,23.552
31.03.2025,3,2025,312,459,445,1473.45,442.035
31.03.2025,3,2025,312,496,30,58.2,17.46
31.03.2025,3,2025,312,534,5,37.9,7.58
31.03.2025,3,2025,312,559,6,37.14,11.142
31.03.2025,3,2025,312,561,16,61.6,18.48
31.03.2025,3,2025,312,631,26,78.74,23.622
31.03.2025,3,2025,312,636,15,88.08,26.424
31.03.2025,3,2025,312,637,37,104.78,20.956
31.03.2025,3,2025,312,701,30,156.66,46.998
31.03.2025,3,2025,312,711,140,278.0,55.6
31.03.2025,3,2025,486,38,36,752.04,150.408
31.03.2025,3,2025,486,61,276,4760.28,952.056
31.03.2025,3,2025,486,134,168,1147.44,573.72
31.03.2025,3,2025,486,706,24,524.64,104.928
31.03.2025,3,2025,650,38,-12,-44.64,-8.928
31.03.2025,3,2025,733,18,56,312.76,62.552
31.03.2025,3,2025,733,21,72,224.16,44.832
31.03.2025,3,2025,733,28,120,963.36,192.672
31.03.2025,3,2025,733,33,76,847.0,169.4
31.03.2025,3,2025,733,34,16,96.96,19.392
31.03.2025,3,2025,733,38,82,468.48,93.696
31.03.2025,3,2025,733,206,152,864.88,259.464
31.03.2025,3,2025,733,259,318,390.06,117.018
31.03.2025,3,2025,733,281,60,257.4,77.22
31.03.2025,3,2025,733,286,24,117.84,35.352
31.03.2025,3,2025,733,300,112,2133.6,640.08
31.03.2025,3,2025,733,305,154,674.52,202.356
31.03.2025,3,2025,733,345,20,144.4,28.88
31.03.2025,3,2025,733,393,270,607.5,182.25
31.03.2025,3,2025,733,445,8,31.2,6.24
31.03.2025,3,2025,733,495,224,2032.64,609.792
31.03.2025,3,2025,733,496,765,1201.05,360.315
31.03.2025,3,2025,733,500,481,12091.46,3627.438
31.03.2025,3,2025,733,510,147,332.88,66.576
31.03.2025,3,2025,733,516,40,551.6,165.48
31.03.2025,3,2025,733,560,2592,5935.68,1780.704
31.03.2025,3,2025,733,631,784,997.36,299.208
31.03.2025,3,2025,733,642,594,2839.32,851.796
31.03.2025,3,2025,733,702,730,1905.3,571.59
31.03.2025,3,2025,768,3,5,36.75,14.7
31.03.2025,3,2025,768,9,309,2624.37,524.874
31.03.2025,3,2025,768,10,10,48.95,19.58
31.03.2025,3,2025,768,16,15,66.3,13.26
31.03.2025,3,2025,768,18,235,1139.41,227.882
31.03.2025,3,2025,768,21,4,33.34,6.668
31.03.2025,3,2025,768,27,688,3052.24,1220.896
31.03.2025,3,2025,768,28,42,489.84,97.968
31.03.2025,3,2025,768,38,66,249.06,49.812
31.03.2025,3,2025,768,61,12,57.28,11.456
31.03.2025,3,2025,768,64,12,25.56,10.224
31.03.2025,3,2025,768,93,12,59.76,11.952
31.03.2025,3,2025,768,103,20,27.7,11.08
31.03.2025,3,2025,768,141,36,194.76,77.904
31.03.2025,3,2025,768,149,42,142.96,57.184
31.03.2025,3,2025,768,187,90,555.9,166.77
31.03.2025,3,2025,768,214,12,24.64,4.928
31.03.2025,3,2025,768,232,72,320.88,96.264
31.03.2025,3,2025,768,245,20,148.2,44.46
31.03.2025,3,2025,768,259,42,399.18,119.754
31.03.2025,3,2025,768,379,48,143.52,43.056
31.03.2025,3,2025,768,445,16,154.02,30.804
31.03.2025,3,2025,768,459,135,449.55,134.865
31.03.2025,3,2025,768,496,90,174.6,52.38
31.03.2025,3,2025,768,631,32,111.04,33.312
31.03.2025,3,2025,768,637,8,23.68,4.736
31.03.2025,3,2025,768,642,36,143.64,43.092
31.03.2025,3,2025,768,674,20,81.6,32.64
31.03.2025,3,2025,768,711,40,81.2,16.24
30.04.2025,4,2025,18,459,7680,18508.8,5552.64
30.04.2025,4,2025,124,3,98,422.6,169.04
30.04.2025,4,2025,124,9,285,2579.28,515.856
30.04.2025,4,2025,124,10,22,98.25,39.3
30.04.2025,4,2025,124,11,3,30.81,6.162
30.04.2025,4,2025,124,18,221,1047.89,209.578
30.04.2025,4,2025,124,19,24,92.4,18.48
30.04.2025,4,2025,124,21,54,447.03,89.406
30.04.2025,4,2025,124,27,578,2298.56,919.424
30.04.2025,4,2025,124,28,12,166.79,33.358
30.04.2025,4,2025,124,33,21,339.17,67.834
30.04.2025,4,2025,124,34,4,39.28,7.856
30.04.2025,4,2025,124,38,167,823.75,164.75
30.04.2025,4,2025,124,58,3,39.48,15.792
30.04.2025,4,2025,124,64,34,69.28,27.712
30.04.2025,4,2025,124,120,175,476.75,190.7
30.04.2025,4,2025,124,144,11,46.14,23.07
30.04.2025,4,2025,124,149,78,327.61,131.044
30.04.2025,4,2025,124,150,10,49.9,9.98
30.04.2025,4,2025,124,191,348,1308.84,523.536
30.04.2025,4,2025,124,232,6,27.54,8.262
30.04.2025,4,2025,124,258,130,350.5,105.15
30.04.2025,4,2025,124,259,48,317.64,95.292
30.04.2025,4,2025,124,263,10,34.3,10.29
30.04.2025,4,2025,124,420,128,116.0,23.2
30.04.2025,4,2025,124,445,20,209.9,41.98
30.04.2025,4,2025,124,459,365,1215.45,364.635
30.04.2025,4,2025,124,496,105,203.7,61.11
30.04.2025,4,2025,124,513,60,57.6,23.04
30.04.2025,4,2025,124,559,15,70.85,21.255
30.04.2025,4,2025,124,630,10,23.0,9.2
30.04.2025,4,2025,124,636,5,27.9,8.37
30.04.2025,4,2025,124,637,46,108.75,21.75
30.04.2025,4,2025,124,651,21,218.81,87.524
30.04.2025,4,2025,124,654,10,58.4,23.36
30.04.2025,4,2025,124,668,135,161.1,64.44
30.04.2025,4,2025,124,673,50,56.5,22.6
30.04.2025,4,2025,124,674,10,40.8,16.32
30.04.2025,4,2025,124,705,15,65.85,19.755
30.04.2025,4,2025,124,711,220,446.6,89.32
30.04.2025,4,2025,283,3,191,1058.17,423.268
30.04.2025,4,2025,283,9,770,6608.67,1321.734
30.04.2025,4,2025,283,10,46,329.17,131.668
30.04.2025,4,2025,283,15,22,289.82,57.964
30.04.2025,4,2025,283,16,40,63.6,12.72
30.04.2025,4,2025,283,18,755,2950.06,590.012
30.04.2025,4,2025,283,19,12,42.6,8.52
30.04.2025,4,2025,283,20,373,535.28,214.112
30.04.2025,4,2025,283,21,231,1691.3,338.26
30.04.2025,4,2025,283,27,628,2623.2,1049.28
30.04.2025,4,2025,283,28,90,1038.06,207.612
30.04.2025,4,2025,283,33,36,589.88,117.976
30.04.2025,4,2025,283,34,8,87.76,17.552
30.04.2025,4,2025,283,35,12,43.92,17.568
30.04.2025,4,2025,283,38,353,2000.7,400.14
30.04.2025,4,2025,283,58,29,334.01,133.604
30.04.2025,4,2025,283,61,15,190.58,38.116
30.04.2025,4,2025,283,103,113,267.16,106.864
30.04.2025,4,2025,283,120,210,564.9,225.96
30.04.2025,4,2025,283,144,50,197.0,98.5
30.04.2025,4,2025,283,149,387,1371.99,548.796
30.04.2025,4,2025,283,167,41,268.19,80.457
30.04.2025,4,2025,283,168,3,18.09,5.427
30.04.2025,4,2025,283,170,12,58.2,17.46
30.04.2025,4,2025,283,176,4,23.96,7.188
30.04.2025,4,2025,283,191,144,542.4,216.96
30.04.2025,4,2025,283,209,6,141.0,70.5
30.04.2025,4,2025,283,214,56,227.08,45.416
30.04.2025,4,2025,283,232,330,1549.2,464.76
30.04.2025,4,2025,283,258,248,815.45,244.635
30.04.2025,4,2025,283,259,244,1261.07,378.321
30.04.2025,4,2025,283,264,24,143.76,43.128
30.04.2025,4,2025,283,281,8,31.92,9.576
30.04.2025,4,2025,283,287,18,96.66,28.998
30.04.2025,4,2025,283,311,24,72.48,21.744
30.04.2025,4,2025,283,372,0,-26.76,-8.028
30.04.2025,4,2025,283,379,120,358.8,107.64
30.04.2025,4,2025,283,408,78,174.9,69.96
30.04.2025,4,2025,283,420,252,335.18,67.036
30.04.2025,4,2025,283,445,23,208.19,41.638
30.04.2025,4,2025,283,452,6,21.06,8.424
30.04.2025,4,2025,283,459,170,566.1,169.83
30.04.2025,4,2025,283,496,630,1222.2,366.66
30.04.2025,4,2025,283,533,65,203.26,81.304
30.04.2025,4,2025,283,534,6,45.48,9.096
30.04.2025,4,2025,283,559,0,-13.62,-4.086
30.04.2025,4,2025,283,630,20,30.3,12.12
30.04.2025,4,2025,283,631,308,757.72,227.316
30.04.2025,4,2025,283,636,13,82.48,24.744
30.04.2025,4,2025,283,637,251,866.07,173.214
30.04.2025,4,2025,283,642,81,377.77,113.331
30.04.2025,4,2025,283,650,24,96.48,38.592
30.04.2025,4,2025,283,651,60,657.7,263.08
30.04.2025,4,2025,283,653,10,37.6,7.52
30.04.2025,4,2025,283,654,40,160.9,64.36
30.04.2025,4,2025,283,655,1,0.01,0.004
30.04.2025,4,2025,283,662,10,13.4,5.36
30.04.2025,4,2025,283,666,17,93.19,37.276
30.04.2025,4,2025,283,667,20,387.8,155.12
30.04.2025,4,2025,283,673,250,513.5,205.4
30.04.2025,4,2025,283,701,35,206.33,61.899
30.04.2025,4,2025,283,708,32,161.4,48.42
30.04.2025,4,2025,283,711,200,410.0,82.0
30.04.2025,4,2025,283,715,21,143.49,71.745
30.04.2025,4,2025,312,3,6,44.1,17.64
30.04.2025,4,2025,312,8,3,32.97,13.188
30.04.2025,4,2025,312,9,462,3940.2,788.04
30.04.2025,4,2025,312,10,38,490.78,196.312
30.04.2025,4,2025,312,15,36,508.71,101.742
30.04.2025,4,2025,312,16,15,58.5,11.7
30.04.2025,4,2025,312,18,660,2610.33,522.066
30.04.2025,4,2025,312,20,-13,21.63,8.652
30.04.2025,4,2025,312,21,126,661.88,132.376
30.04.2025,4,2025,312,27,277,1251.68,500.672
30.04.2025,4,2025,312,28,53,609.3,121.86
30.04.2025,4,2025,312,33,8,128.0,25.6
30.04.2025,4,2025,312,34,8,50.48,10.096
30.04.2025,4,2025,312,35,24,53.76,21.504
30.04.2025,4,2025,312,38,193,1089.33,217.866
30.04.2025,4,2025,312,58,6,64.74,25.896
30.04.2025,4,2025,312,61,103,1956.16,391.232
30.04.2025,4,2025,312,78,-12,-151.08,-45.324
30.04.2025,4,2025,312,93,24,140.76,28.152
30.04.2025,4,2025,312,141,42,176.04,70.416
30.04.2025,4,2025,312,144,23,88.62,44.31
30.04.2025,4,2025,312,149,68,360.16,144.064
30.04.2025,4,2025,312,176,1,5.99,1.797
30.04.2025,4,2025,312,191,842,2513.84,1005.536
30.04.2025,4,2025,312,214,30,129.3,25.86
30.04.2025,4,2025,312,232,67,303.13,90.939
30.04.2025,4,2025,312,258,25,73.75,22.125
30.04.2025,4,2025,312,259,46,156.11,46.833
30.04.2025,4,2025,312,264,3,20.79,6.237
30.04.2025,4,2025,312,345,15,137.25,27.45
30.04.2025,4,2025,312,350,264,1190.64,357.192
30.04.2025,4,2025,312,368,2,28.5,8.55
30.04.2025,4,2025,312,420,28,21.0,4.2
30.04.2025,4,2025,312,430,360,12564.0,2512.8
30.04.2025,4,2025,312,445,14,126.8,25.36
30.04.2025,4,2025,312,459,215,715.95,214.785
30.04.2025,4,2025,312,463,5,56.45,16.935
30.04.2025,4,2025,312,496,285,552.9,165.87
30.04.2025,4,2025,312,631,16,54.56,16.368
30.04.2025,4,2025,312,636,2,10.38,3.114
30.04.2025,4,2025,312,637,110,243.2,48.64
30.04.2025,4,2025,312,657,72,1421.64,568.656
30.04.2025,4,2025,312,668,-48,-134.4,-53.76
30.04.2025,4,2025,312,674,2,15.18,6.072
30.04.2025,4,2025,312,683,160,547.2,218.88
30.04.2025,4,2025,312,701,34,153.56,46.068
30.04.2025,4,2025,312,708,16,80.88,24.264
30.04.2025,4,2025,312,711,120,227.6,45.52
30.04.2025,4,2025,312,715,2,13.38,6.69
30.04.2025,4,2025,486,15,484,3878.52,775.704
30.04.2025,4,2025,486,18,1724,7029.08,1405.816
30.04.2025,4,2025,486,21,904,3326.08,665.216
30.04.2025,4,2025,486,28,1008,9085.56,1817.112
30.04.2025,4,2025,486,33,240,2184.0,436.8
30.04.2025,4,2025,486,34,1289,16324.87,3264.974
30.04.2025,4,2025,486,38,456,1638.0,327.6
30.04.2025,4,2025,486,61,900,10749.64,2149.928
30.04.2025,4,2025,486,81,54,913.68,182.736
30.04.2025,4,2025,486,99,228,866.4,173.28
30.04.2025,4,2025,486,134,228,1557.24,778.62
30.04.2025,4,2025,486,187,25,138.65,41.595
30.04.2025,4,2025,486,206,488,3147.84,944.352
30.04.2025,4,2025,486,207,1030,15715.4,4714.62
30.04.2025,4,2025,486,208,696,13949.16,4184.748
30.04.2025,4,2025,486,232,744,2693.28,807.984
30.04.2025,4,2025,486,233,204,1075.2,322.56
30.04.2025,4,2025,486,255,1050,7006.8,2102.04
30.04.2025,4,2025,486,259,1039,3022.99,906.897
30.04.2025,4,2025,486,281,780,2978.76,893.628
30.04.2025,4,2025,486,286,1290,8387.76,2516.328
30.04.2025,4,2025,486,299,38,728.42,218.526
30.04.2025,4,2025,486,305,830,7716.26,2314.878
30.04.2025,4,2025,486,313,192,731.52,219.456
30.04.2025,4,2025,486,324,2256,7985.52,2395.656
30.04.2025,4,2025,486,330,752,2654.0,796.2
30.04.2025,4,2025,486,345,200,1342.0,268.4
30.04.2025,4,2025,486,350,5255,25541.11,7662.333
30.04.2025,4,2025,486,356,204,1870.68,561.204
30.04.2025,4,2025,486,369,646,1096.4,328.92
30.04.2025,4,2025,486,371,192,566.4,169.92
30.04.2025,4,2025,486,379,384,1040.64,312.192
30.04.2025,4,2025,486,393,796,2898.98,869.694
30.04.2025,4,2025,486,420,679,4728.37,945.674
30.04.2025,4,2025,486,445,768,4319.56,863.912
30.04.2025,4,2025,486,452,42,278.46,111.384
30.04.2025,4,2025,486,459,780,2301.0,690.3
30.04.2025,4,2025,486,496,300,426.0,127.8
30.04.2025,4,2025,486,500,2451,19094.79,5728.437
30.04.2025,4,2025,486,508,2000,3040.0,912.0
30.04.2025,4,2025,486,510,1604,3865.6,773.12
30.04.2025,4,2025,486,516,120,1678.8,503.64
30.04.2025,4,2025,486,526,1216,5646.16,1693.848
30.04.2025,4,2025,486,530,270,483.3,144.99
30.04.2025,4,2025,486,535,677,2983.71,895.113
30.04.2025,4,2025,486,554,224,920.56,276.168
30.04.2025,4,2025,486,559,901,4142.73,1242.819
30.04.2025,4,2025,486,628,119,842.52,252.756
30.04.2025,4,2025,486,631,4600,7378.64,2213.592
