numer kategorii,nazwa kategorii,filar wzrostu
286,BIOBITE,ZDROWA ŻYWNOŚĆ
287,BIOGARDEN,ZDROWA ŻYWNOŚĆ
290,BIOFIELD,ZDROWA ŻYWNOŚĆ
293,BIOKRUP,ZDROWA ŻYWNOŚĆ
297,EKOFIT,ZDROWA ŻYWNOŚĆ
299,EKOSNACK,ZDROWA ŻYWNOŚĆ
300,EKOCRUNCH,ZDROWA ŻYWNOŚĆ
305,EKOGRANO,ZDROWA ŻYWNOŚĆ
311,EKOFOOD,ZDROWA ŻYWNOŚĆ
313,EKOVITA,ZDROWA ŻYWNOŚĆ
324,EKOLAND,ZDROWA ŻYWNOŚĆ
326,EKOBAR,ZDROWA ŻYWNOŚĆ
330,EKOSMAK,ZDROWA ŻYWNOŚĆ
335,EKONATURA,ZDROWA ŻYWNOŚĆ
345,APISAN,LEKI/WYROBY MEDYCZNE
350,EKOLIFE,ZDROWA ŻYWNOŚĆ
356,EKOPURE,ZDROWA ŻYWNOŚĆ
368,EKOMIX,ZDROWA ŻYWNOŚĆ
369,EKOGOLD,ZDROWA ŻYWNOŚĆ
371,EKOBITE,ZDROWA ŻYWNOŚĆ
372,EKOGARDEN,ZDROWA ŻYWNOŚĆ
379,EKOFIELD,ZDROWA ŻYWNOŚĆ
393,EKOKRUP,ZDROWA ŻYWNOŚĆ
405,AURENA COSMETICS,KOSMETYKI
408,GARDENSEED,POZOSTAŁE
420,RECEPTIVA,LEKI/WYROBY MEDYCZNE
430,SANOVEL PLUS,LEKI/WYROBY MEDYCZNE
440,VITAFIT,ZDROWA ŻYWNOŚĆ
441,VITASNACK,ZDROWA ŻYWNOŚĆ
445,CURAPHARM,LEKI/WYROBY MEDYCZNE
452,LUMIBULB,POZOSTAŁE
453,VITACRUNCH,ZDROWA ŻYWNOŚĆ
455,VITAGRANO,ZDROWA ŻYWNOŚĆ
459,VITAFOOD,ZDROWA ŻYWNOŚĆ
460,VITALAND,ZDROWA ŻYWNOŚĆ
463,VITABAR,ZDROWA ŻYWNOŚĆ
495,VITASMAK,ZDROWA ŻYWNOŚĆ
496,VITANATURA,ZDROWA ŻYWNOŚĆ
498,VITALIFE,ZDROWA ŻYWNOŚĆ
500,VITAPURE,ZDROWA ŻYWNOŚĆ
505,VITAMIX,ZDROWA ŻYWNOŚĆ
508,VITAGOLD,ZDROWA ŻYWNOŚĆ
510,MEDIQ LAB,LEKI/WYROBY MEDYCZNE
511,SNACKPOP,POZOSTAŁE
513,IMPULSO,POZOSTAŁE
516,VITABITE,ZDROWA ŻYWNOŚĆ
526,VITAGARDEN,ZDROWA ŻYWNOŚĆ
529,KOLOREK,POZOSTAŁE
530,VITAFIELD,ZDROWA ŻYWNOŚĆ
533,DENTIFRESH,POZOSTAŁE
534,FARMAVITA,LEKI/WYROBY MEDYCZNE
535,VITAKRUP,ZDROWA ŻYWNOŚĆ
541,FITSNACK,ZDROWA ŻYWNOŚĆ
554,FITCRUNCH,ZDROWA ŻYWNOŚĆ
559,FITGRANO,ZDROWA ŻYWNOŚĆ
560,FITFOOD,ZDROWA ŻYWNOŚĆ
561,FITVITA,ZDROWA ŻYWNOŚĆ
628,FITLAND,ZDROWA ŻYWNOŚĆ
630,POWERCELL,POZOSTAŁE
631,FITBAR,ZDROWA ŻYWNOŚĆ
636,FITSMAK,ZDROWA ŻYWNOŚĆ
637,OPTIMED,LEKI/WYROBY MEDYCZNE
640,FITNATURA,ZDROWA ŻYWNOŚĆ
642,FITLIFE,ZDROWA ŻYWNOŚĆ
645,GLUEMASTER,POZOSTAŁE
648,CANDYLAND USA,POZOSTAŁE
650,BULBOLUX,POZOSTAŁE
651,VITAGUM,POZOSTAŁE
653,VESCURA,LEKI/WYROBY MEDYCZNE
654,PAKOMET,POZOSTAŁE
655,HOME ESSENTIALS,POZOSTAŁE
657,AROMAX,POZOSTAŁE
659,FITPURE,ZDROWA ŻYWNOŚĆ
662,PIKNIKO,POZOSTAŁE
666,PRIMOWARE,POZOSTAŁE
667,MARKOPOL,POZOSTAŁE
668,MONOGREY,POZOSTAŁE
669,LEKOPOL,LEKI/WYROBY MEDYCZNE
672,WEBWAY,POZOSTAŁE
673,KARGOPOL,POZOSTAŁE
674,MOLLETTO PLUS,POZOSTAŁE
683,ARTISKOLA,POZOSTAŁE
685,FITMIX,ZDROWA ŻYWNOŚĆ
692,FITGOLD,ZDROWA ŻYWNOŚĆ
701,FITBITE,ZDROWA ŻYWNOŚĆ
702,FITGARDEN,ZDROWA ŻYWNOŚĆ
705,FITFIELD,ZDROWA ŻYWNOŚĆ
706,PROTAMED,LEKI/WYROBY MEDYCZNE
707,FITKRUP,ZDROWA ŻYWNOŚĆ
708,GREENFIT,ZDROWA ŻYWNOŚĆ
711,SANITALIS,LEKI/WYROBY MEDYCZNE
715,Receptury Botaniczne,KOSMETYKI
716,GREENSNACK,ZDROWA ŻYWNOŚĆ
717,GREENCRUNCH,ZDROWA ŻYWNOŚĆ
720,GREENGRANO,ZDROWA ŻYWNOŚĆ
722,GREENFOOD,ZDROWA ŻYWNOŚĆ
724,GREENVITA,ZDROWA ŻYWNOŚĆ
726,JAJKOLOR,POZOSTAŁE
735,GREENLAND,ZDROWA ŻYWNOŚĆ
